alpha,beta,gamma,theta,emotion
786.5201465,693.040293,656.3736264,740.5860806,
547.1794872,0,74.94505495,314.6886447,
851.3919414,213.956044,648.3150183,874.7619048,
1142.307692,1246.263736,1303.882784,1381.648352,
888.8644689,974.6886447,826.8131868,938.8278388,
540.7326007,0,116.4468864,336.043956,
728.9010989,21.75824176,469.4139194,633.8095238,
1111.684982,1050.43956,1270.842491,1297.032967,
1014.578755,1283.333333,1052.857143,1106.849817,
610.8424908,179.3040293,177.6923077,401.3186813,
824.7985348,824.7985348,824.7985348,824.7985348,
823.992674,821.5750916,822.7838828,823.992674,
835.2747253,854.2124542,854.2124542,840.9157509,
803.040293,774.4322344,766.7765568,790.952381,
905.7875458,1042.783883,1074.615385,951.7216117,
1104.029304,49.56043956,78.16849817,1267.619048,
855.8241758,1428.388278,1194.688645,873.5531136,
548.7912088,253.8461538,119.2673993,393.2600733,
771.6117216,279.2307692,407.3626374,773.2234432,
1105.238095,1450.952381,1480.769231,1299.047619,
946.4835165,1620.18315,1351.025641,1026.263736,
587.0695971,485.5311355,222.014652,448.4615385,
677.3260073,161.5750916,208.3150183,596.7399267,
1046.410256,1289.377289,1345.787546,1197.509158,
1034.322344,107.1794872,1544.432234,1180.989011,
666.043956,766.3736264,452.8937729,550.4029304,
605.2014652,0,41.0989011,444.029304,
966.2271062,944.0659341,1049.6337,1043.992674,
1106.043956,172.8571429,0.805860806,1255.531136,
769.1941392,979.5238095,680.1465201,727.2893773,
571.3553114,0,0,396.4835165,
861.4652015,600.7692308,720.4395604,883.6263736,
1116.520147,116.4468864,56.41025641,1317.582418,
875.1648352,1228.534799,1002.490842,893.6996337,
571.7582418,16.52014652,0,401.7216117,
753.8827839,350.1465201,436.7765568,705.9340659,
1102.014652,1532.747253,1562.564103,1263.589744,
998.0586081,1568.608059,1315.164835,1063.736264,
628.974359,450.0732601,198.6446886,444.8351648,
665.2380952,83.003663,147.4725275,543.5531136,
1027.875458,1155.201465,1231.758242,1171.721612,
1051.245421,113.6263736,1492.051282,1189.85348,
680.5494505,812.3076923,439.5970696,583.040293,
585.0549451,0,0,447.2527473,
937.2161172,807.0695971,887.2527473,1021.025641,
1106.849817,158.7545788,1475.531136,1288.974359,
768.7912088,1135.054945,674.5054945,745.4212454,
542.7472527,0,0,363.4432234,
830.4395604,468.2051282,519.7802198,837.6923077,
1116.923077,1638.717949,1508.168498,1294.212454,
894.9084249,1452.564103,1095.567766,907.8021978,
570.5494505,291.7216117,58.82783883,395.6776557,
726.8864469,167.2161172,232.4908425,660.4029304,
1076.227106,1303.882784,1303.479853,1236.996337,
987.985348,1648.388278,1344.175824,1102.014652,
612.8571429,593.9194139,282.4542125,487.1428571,
627.3626374,0,36.66666667,509.3040293,
1004.908425,917.0695971,1013.369963,1122.564103,
1077.435897,151.0989011,1564.981685,1224.505495,
721.6483516,925.9340659,554.029304,603.992674,
589.4871795,0,0,406.959707,
910.2197802,774.029304,849.7802198,981.1355311,
1114.102564,155.9340659,1591.172161,1290.18315,
827.6190476,1223.699634,822.7838828,786.1172161,
566.9230769,32.63736264,0,389.2307692,
803.040293,374.7252747,493.992674,796.996337,
1104.432234,1596.813187,1576.666667,1278.095238,
924.7252747,1492.051282,1210,989.1941392,
585.8608059,275.6043956,73.33333333,446.043956,
702.7106227,215.970696,309.8534799,619.3040293,
1068.571429,1395.750916,1450.549451,1209.194139,
1021.428571,1647.179487,1411.465201,1134.652015,
637.032967,571.3553114,287.6923077,520.5860806,
627.7655678,0,54.7985348,490.7692308,
989.1941392,971.8681319,1095.567766,1097.582418,
1070.18315,131.7582418,1583.516484,1249.084249,
715.6043956,917.0695971,579.4139194,653.5531136,
564.1025641,0,0,398.4981685,
884.4322344,600.7692308,753.8827839,924.7252747,
1096.776557,101.9413919,1595.201465,1288.571429,
829.6336996,1106.849817,801.025641,839.3040293,
539.1208791,0,0,375.9340659,
755.4945055,392.0512821,516.1538462,744.6153846,
1086.300366,1559.340659,1560.14652,1263.186813,
940.03663,1545.641026,1278.498168,995.6410256,
588.6813187,400.1098901,162.7838828,413.003663,
662.4175824,132.1611722,208.3150183,571.3553114,
1038.754579,1242.234432,1300.659341,1172.527473,
1038.754579,65.67765568,1453.369963,1134.652015,
646.3003663,686.5934066,366.6666667,536.7032967,
572.967033,0,58.02197802,442.8205128,
943.6630037,775.2380952,887.2527473,1030.29304,
1087.912088,80.98901099,1469.89011,1233.369963,
756.7032967,1047.216117,730.1098901,694.2490842,
553.6263736,0,0,403.3333333,
850.1831502,525.8241758,655.1648352,884.8351648,
1105.641026,64.06593407,1605.274725,1288.168498,
834.8717949,1356.263736,1011.355311,862.2710623,
542.7472527,138.6080586,0,369.8901099,
738.974359,300.5860806,392.0512821,693.040293,
1069.78022,1502.124542,1513.003663,1242.637363,
953.7362637,1523.076923,1239.81685,1035.934066,
592.3076923,379.5604396,126.1172161,439.5970696,
655.1648352,88.64468864,171.2454212,535.0915751,
1038.754579,1173.736264,1268.424908,1135.860806,
1062.527473,88.24175824,1531.538462,1201.538462,
672.4908425,745.4212454,455.7142857,616.0805861,
586.2637363,0,0,442.014652,
939.2307692,806.2637363,943.2600733,1000.879121,
1087.912088,172.0512821,29.01098901,1274.065934,
756.7032967,1055.274725,762.3443223,743.8095238,
543.1501832,0,0,375.1282051,
833.6630037,500.03663,634.2124542,826.4102564,
1103.626374,43.51648352,1568.205128,1286.153846,
876.7765568,1268.021978,980.3296703,882.8205128,
556.4468864,57.21611722,0,338.8644689,
723.2600733,262.7106227,374.3223443,662.8205128,
1085.091575,1410.659341,1472.307692,1240.622711,
991.6117216,1616.556777,1363.113553,1075.018315,
609.6336996,523.003663,263.9194139,465.3846154,
630.5860806,15.31135531,147.0695971,517.3626374,
1008.937729,1059.70696,1196.300366,1136.666667,
1062.124542,137.3992674,1558.534799,1210.805861,
717.2161172,882.014652,581.025641,618.4981685,
590.6959707,0,4.432234432,430.3296703,
904.981685,608.4249084,784.9084249,973.0769231,
1106.043956,56.41025641,1549.67033,1280.915751,
789.3406593,1167.692308,888.4615385,780.0732601,
543.5531136,0,0,373.5164835,
801.8315018,338.0586081,549.1941392,789.7435897,
1103.626374,1527.509158,1580.695971,1276.483516,
908.6080586,1484.798535,1273.663004,968.6446886,
561.6849817,296.959707,138.6080586,415.018315,
680.952381,120.4761905,263.5164835,615.2747253,
1021.428571,1261.172161,1397.362637,1213.626374,
974.6886447,26.996337,1435.238095,1129.413919,
614.8717949,658.3882784,389.6336996,496.4102564,
595.1282051,0,0,468.2051282,
963.8095238,770,976.7032967,1073.003663,
1058.498168,146.6666667,8.864468864,1224.908425,
718.021978,943.6630037,670.8791209,644.2857143,
560.4761905,0,0,371.5018315,
869.1208791,660.4029304,875.5677656,898.9377289,
1105.238095,135.3846154,74.54212454,1261.172161,
826.8131868,1201.135531,959.7802198,808.6813187,
543.1501832,0,0,370.6959707,
768.7912088,318.3150183,481.5018315,733.3333333,
1088.315018,1537.582418,1589.96337,1260.769231,
936.4102564,1451.758242,1238.608059,988.7912088,
579.4139194,264.3223443,99.92673993,412.1978022,
662.8205128,48.35164835,222.014652,577.8021978,
1046.410256,1188.644689,1364.322344,1176.556777,
1042.783883,1591.978022,1437.252747,1157.619048,
665.6410256,464.5787546,273.5897436,521.3919414,
626.5567766,0,99.92673993,410.989011,
1004.908425,903.7728938,1139.89011,1013.369963,
1120.14652,153.9194139,0.402930403,1241.428571,
757.9120879,1040.3663,747.4358974,672.4908425,
552.4175824,0,0,360.2197802,
850.1831502,552.4175824,749.4505495,881.6117216,
1106.446886,105.1648352,14.1025641,1312.344322,
855.8241758,1214.432234,997.6556777,895.7142857,
541.9413919,59.63369963,1.208791209,382.3809524,
733.3333333,114.4322344,436.7765568,708.3516484,
1088.717949,1065.750916,1400.18315,1280.915751,
965.018315,1108.461538,1238.205128,1065.750916,
603.5897436,180.5128205,257.4725275,458.9377289,
645.0915751,0,171.2454212,534.6886447,
971.4652015,819.1575092,1239.413919,1116.520147,
975.4945055,4.432234432,1548.058608,1150.769231,
608.8278388,667.2527473,486.3369963,537.9120879,
525.018315,0,0,386.4102564,
885.6410256,636.2271062,896.9230769,952.9304029,
1022.637363,29.81684982,1517.435897,1198.315018,
663.6263736,919.4871795,667.6556777,641.0622711,
442.8205128,0,0,261.5018315,
718.4249084,356.996337,463.3699634,704.3223443,
993.2234432,1556.117216,1490.03663,1145.934066,
743.003663,1289.78022,957.3626374,760.3296703,
398.0952381,74.13919414,0,233.6996337,
544.7619048,176.8864469,296.5567766,500.03663,
884.8351648,1326.043956,1342.161172,1070.18315,
811.9047619,1570.622711,1205.164835,915.4578755,
445.6410256,446.4468864,158.7545788,299.7802198,
462.967033,0,113.2234432,353.7728938,
834.4688645,988.3882784,1085.897436,975.8974359,
904.981685,99.52380952,1433.626374,1069.377289,
554.029304,773.2234432,446.8498168,478.2783883,
429.9267399,0,0,276.007326,
748.6446886,730.1098901,827.2161172,813.1135531,
934.7985348,132.967033,1538.388278,1120.549451,
640.2564103,1114.505495,705.5311355,642.2710623,